id,name,category,lat,lng,shortDescription,fullDescription,image,difficulty
11,Скала Парус,mountains,44.438639,38.184389,Одинокая скала на побережье.,Находится неподалеку от курортного хутора Прасковеевка. Имеет охранный статус с 1971 года. Привлекает множество туристов и скалолазов.,https://upload.wikimedia.org/wikipedia/commons/8/8d/Parus_rock.jpg,Легкая
12,Гора Ахун,mountains,43.5506,39.8433,Смотровая гора в Сочи.,Панорама Кавказских гор и побережья Черного моря предстаёт во всей красе с обзорной площадки на горе Ахун.,https://upload.wikimedia.org/wikipedia/commons/6/6e/Akhun_Sochi.JPG,Легкая
13,Ахунская пещера,mountains,43.5572,39.8315,Пещера-лабиринт на горе Ахун.,"Является одной из самых интересных пещер Сочи, так как представляет собой запутанный лабиринт. Организованных экскурсий сюда нет.",https://upload.wikimedia.org/wikipedia/commons/e/e4/AyanSpr_1.jpg,Сложная
14,Большой Тхач,mountains,44.0427,40.4293,Горный массив на границе регионов.,Горная вершина расположена на границе. Обилие троп и удобные площадки привлекают сюда любителей походов.,https://upload.wikimedia.org/wikipedia/commons/3/31/Bolshoy_Tkhach%2C_Adygea%2C_%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%BE%D0%B9_%D0%A2%D1%85%D0%B0%D1%87%2C_%D0%BA%D1%83%D1%8D%D1%81%D1%82%D0%B0%2C_%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D1%8F.jpg,Сложная
15,Гора Фишт,mountains,43.95361,39.90306,Самая западная вершина Кавказа.,Является самой высокой точкой плато Лагонаки. Включена в список Всемирного наследия ЮНЕСКО.,https://upload.wikimedia.org/wikipedia/commons/8/8d/Fisht_in_Winter.jpg,Сложная
16,Плато Лагонаки,mountains,44.05,40.0,Горное плато на Западном Кавказе.,Плато лежит между реками Белой и Пшехой. На нем расположены 20 озер и знаменитые карстовые пещеры.,https://upload.wikimedia.org/wikipedia/commons/4/47/Panorama_plato_L-N.jpg,Средняя
17,Большая Азишская пещера,mountains,44.1218,40.0285,Двухъярусная пещера на Лагонаки.,Состоит из верхнего и нижнего ярусов. Доступна для посещения туристами на треть от своей общей протяженности.,https://upload.wikimedia.org/wikipedia/commons/6/68/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D0%90%D0%B7%D0%B8%D1%88%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%89%D0%B5%D1%80%D0%B0_1.jpg,Легкая
18,Вулкан Тиздар,mountains,45.35972,37.08472,Действующий грязевой вулкан.,"Воронка, заполненная грязью, глубиной 25 метров. Высокая плотность грязи не дает утонуть. Используется как курорт.",https://upload.wikimedia.org/wikipedia/commons/3/36/%D0%93%D0%BE%D1%80%D0%B0_%D0%A2%D0%B8%D0%B7%D0%B4%D0%B0%D1%80.jpg,Легкая
19,Джанхотский бор,forest,44.455,38.16083,Бор пицундской сосны.,"Уникальное место на побережье Черного моря. Площадь соснового бора – 950 га, растение занесено в Красную книгу.",https://upload.wikimedia.org/wikipedia/commons/3/3c/%D0%94%D0%B6%D0%B0%D0%BD%D1%85%D0%BE%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B1%D0%BE%D1%80.JPG,Легкая
20,Кавказский заповедник,forest,43.8362,40.4009,Биосферный заповедник ЮНЕСКО.,"Нетронутая территория международного значения. Там живут более 80 видов млекопитающих, многие из которых признаны исчезающими.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Kaukasian_nature_reserve.jpg/500px-Kaukasian_nature_reserve.jpg,Разная
21,Тисо-самшитовая роща,forest,43.53598,39.87582,Реликтовый лес в Сочи.,"Музей древней природы площадью более 300 гектаров. Принимает туристов круглый год, предоставляя множество маршрутов.",https://upload.wikimedia.org/wikipedia/commons/0/05/%D0%9B%D0%B0%D0%B1%D0%B8%D1%80%D0%B8%D0%BD%D1%82_%D0%B2_%D1%82%D0%B8%D1%81%D0%BE-%D1%81%D0%B0%D0%BC%D1%88%D0%B8%D1%82%D0%BE%D0%B2%D0%BE%D0%B9_%D1%80%D0%BE%D1%89%D0%B5.jpg,Легкая
22,Дендрарий,forest,43.57,39.745,Парк в городе Сочи.,Уникальный памятник садово-паркового искусства. Группы растений высажены по систематическому принципу.,https://upload.wikimedia.org/wikipedia/commons/3/3e/Dendrarium_Sochi_Mauritanian_arbour.jpg,Легкая
23,Долина лотосов,forest,45.292,37.14,Водный сад в Ахтанизовской.,"Рукотворная достопримечательность, усеянная индийскими лотосами. Пик туристической активности приходится на июль-август.",https://upload.wikimedia.org/wikipedia/commons/d/d3/Nelumno_nucifera_open_flower_-_botanic_garden_adelaide2.jpg,Легкая
24,Ботанический сад КубГУ,forest,45.01944,39.03083,Сад в Пашковском массиве.,Является учебной базой биологического факультета и оказывает большую помощь в озеленении Краснодара.,https://upload.wikimedia.org/wikipedia/commons/4/4a/Greenhouse_%28external_view%29%2C_Botanical_Gardens%2C_Saint_Petersburg_State_University%2C_Russia_%2810_April_2008%29.jpg,Легкая
25,Чистяковская роща,forest,45.05773,38.99498,Роща в северной части Краснодара.,В роще ведётся работа по увеличению древостоя. Растительную коллекцию пополнили тюльпанное дерево и магнолия.,https://upload.wikimedia.org/wikipedia/commons/6/66/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%BE%D1%89%D0%B0_%28%D0%A7%D0%B8%D1%81%D1%82%D1%8F%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%BE%D1%89%D0%B0%29%2C_%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80_01.JPG,Легкая
26,Колхидские леса,forest,43.4,39.95,Леса на Имеретинской низменности.,Простираются вдоль западных склонов Кавказского хребта. Являются ключевой орнитологической территорией.,https://upload.wikimedia.org/wikipedia/commons/b/ba/%D0%9A%D0%BE%D0%BB%D1%85%D0%B8%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81.jpg,Средняя
27,Ахтарские озёра,water,46.05,38.25,Система солёных озёр.,"Включает озёра Скелеватое, Комковатое и Солёное. Уникальный пейзаж создают песчаные косы, белые от соли.",https://upload.wikimedia.org/wikipedia/commons/c/c0/Dniester_liman.jpeg,Легкая
